nombre,precio,dormitorios,baños,metros,direccion,ciudad
Arriendo Depto 3d/ 2b Sector Brasil Antofagasta.,$950.000,3 dormitorios,2 baños,94 m² útiles,"General Velásquez  1046, Parque Brasil, Antofagasta",antofagasta
Departamento En Arriendo En Antofagasta,$890.000,3 dormitorios,2 baños,80 m² útiles,"Edificio Punta Diamante Torre A, Parque Brasil, Antofagasta",antofagasta
Departamento En Arriendo De 4 Dorm. En Antofagasta,$1.080.000,4 dormitorios,3 baños,107 m² útiles,"Departamento Edificio Ayres, Sector Llacolen, Cercano A Colegio A.I.S, Antofagasta",antofagasta
Departamento En Arriendo De 3 Dorm. En Antofagasta,$750.000,3 dormitorios,2 baños,82 m² útiles,"Departamento Nuevo Edificio Condores, Detras Del Jumbo Norte, Antofagasta",antofagasta
Departamento En Arriendo De 2 Dorm. En Antofagasta,$850.000,2 dormitorios,2 baños,58 m² útiles,"Edificio Alerce, Bajo El Parque Juan López, Parque Juan López, Antofagasta",antofagasta
Se  Arrienda Departamento Amoblado Cerro Paranal,$1.300.000,3 dormitorios,2 baños,100 m² útiles,"Cerro Paranal SN, Coviefi, Antofagasta",antofagasta
Departamento Costa Laguna 2d-2b.,$750.000,2 dormitorios,2 baños,50 m² útiles,"Gladys Marín, Antofagasta, Costa Laguna, Antofagasta",antofagasta
Departamento En Arriendo En Antofagasta,$800.000,3 dormitorios,2 baños,98 m² útiles,"Departamento Edificio Grenada, Antillas IV, Costado Colegio Chañares, Coviefi, Antofagasta",antofagasta
Departamento 3d-2b Benito Ocampo 11640,$700.000,2 dormitorios,2 baños,50 m² útiles,"Benito Ocampo 11640, Dpto 401 Torre 1, Antofagasta, La Chimba, Antofagasta",antofagasta
Arriendo Amoblado Ed. Las Aguilas,$900.000,2 dormitorios,1 baño,48 m² útiles,"Abracita 477, Antofagasta, La Chimba, Antofagasta",antofagasta
Arriendo Dpto Edificio Aires,$1.100.000,3 dormitorios,2 baños,480 m² útiles,"Av. Jaime Guzmán Errázuriz, Antofagasta, Antofagasta",antofagasta
Depto Amoblado Frente Al Mar Sector Brasil Antofagasta,$850.000,3 dormitorios,2 baños,92 m² útiles,"Manuel Verbal  SN, Parque Brasil, Antofagasta",antofagasta
Depto Duplex 4d3b1e1bo Frente A Parque Juan López,$890.000,4 dormitorios,3 baños,130 m² útiles,"Lidia Moreno 265, Antofagasta, Región De Antofagasta 1240000, Chile, Parque Juan López, Antofagasta",antofagasta
"Amplio Departamento, Vista Al Mar, Sector Sur.",$1.000.000,3 dormitorios,3 baños,120 m² útiles,"Valle Del Mar 3600 - 3900, Antofagasta, Jardines Del Sur, Antofagasta",antofagasta
Arriendo Amoblado Sector Centro Antofagasta,$650.000,1 dormitorio,1 baño,37 m² útiles,"Copiapo 1064, Parque Brasil, Antofagasta",antofagasta
Arriendo Exclusivo Departamento Amoblado Travesía De Coloso,$1.220.000,3 dormitorios,2 baños,94 m² útiles,"Travesia De Coloso, Jardines Del Sur, Antofagasta",antofagasta
Departamento 02 Dormitorios 02 Baños. Jardines Del Sur.,$700.000,2 dormitorios,2 baños,92 m² útiles,"Subida Del Desierto 310, Antofagasta, Jardines Del Sur, Antofagasta",antofagasta
Departamento En Arriendo De 3 Dorm. En Antofagasta,$800.000,3 dormitorios,2 baños,75 m² útiles,"Departamento Nuevo, Edificio Gran Marino, En Plena Avenida Argentina Esquina Antonino Toro, Parque Brasil, Antofagasta",antofagasta
Se Arrienda Departamento En  Sector Residencial,$780.000,2 dormitorios,2 baños,53 m² útiles,"Antilhue 1675, Antofagasta, Coviefi, Antofagasta",antofagasta
Departamento En Arriendo De 4 Dorm. En Antofagasta,$1.400.000,4 dormitorios,3 baños,107 m² útiles,"Departamento Edificio Ayres, Sector Llacolen, Cercano A Colegio A.I.S, Antofagasta",antofagasta
Arriendo Bello Amoblado 3d-2b Edificio Aurora,$1.300.000,3 dormitorios,2 baños,100 m² útiles,"Av. Cerro Paranal 360, Antofagasta, Coviefi, Antofagasta",antofagasta
"Depto Amoblado En Arriendo En Barrio Brisas, Costa Laguna",$850.000,3 dormitorios,2 baños,80 m² útiles,"Gladys Marín 625, Antofagasta, Chile, Costa Laguna, Antofagasta",antofagasta
¡vive Donde Siempre Soñaste! Depto  En Arriendo  Zona Sur,$700.000,2 dormitorios,2 baños,100 m² útiles,"Av. Cerro Paranal 210, Antofagasta, Coviefi, Antofagasta",antofagasta
Departamento En Arriendo En Antofagasta,$730.000,2 dormitorios,2 baños,65 m² útiles,"Departamento Amoblado Edificio Maipu En Pleno Centro De La Ciudad, Centro De Antofagasta, Antofagasta",antofagasta
Departamento En Arriendo De 3 Dorm. En Antofagasta,$530.000,3 dormitorios,1 baño,55 m² útiles,"Departamento Edificio Salitrera Britania, Sector Parque Universitario, Jardines Del Sur, Antofagasta",antofagasta
Departamento En Arriendo En Antofagasta,$950.000,2 dormitorios,2 baños,70 m² útiles,"Departamento Amoblado, Edificio Guadalupe, Las Antillas IV, Costado Colegio Chañares, Coviefi, Antofagasta",antofagasta
Departamento Con Dos Dormitorios. Centarl Barrio Estacion.,$460.000,2 dormitorios,1 baño,50 m² útiles,"Eleuterio Ramírez 390, Antofagasta, Playa Paraíso, Antofagasta",antofagasta
Departamento En Arriendo De 1 Dorm. En Antofagasta,$550.000,1 dormitorio,1 baño,40 m² útiles,"Edificio Los Pimientos, Sector Coviefi, Antofagasta, Coviefi, Antofagasta",antofagasta
Departamento En Arriendo En Antofagasta,$750.000,2 dormitorios,2 baños,70 m² útiles,"Edificio Puyehue, En Cerro Paranal, Coviefi, Antofagasta",antofagasta
"Arriendo Depto  Nuevo 4 D 3 B Gran Pacífico, Antofagasta.",$1.200.000,4 dormitorios,3 baños,11 m² útiles,"Av. Jaime Guzmán Errázuriz 5190, Antofagasta, Antofagasta",antofagasta
Departamento En Arriendo De 1 Dorm. En Antofagasta,$680.000,1 dormitorio,1 baño,35 m² útiles,"Departamento Amoblado Edificio El Roble, Sector Norte, A Pasos Del Colegio San Patricio, Parque Juan López, Antofagasta",antofagasta
Se Arrienda Departamento Amoblado En Edificio Maipú,$1.400.000,2 dormitorios,2 baños,76 m² útiles,"Av. Balmaceda 2415, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
Departamento En Arriendo De 2 Dorm. En Antofagasta,$1.200.000,2 dormitorios,2 baños,65 m² útiles,"Departamento Full Amoblado Edificio Puerto Nuevo, Costado Mall Plaza Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
Acogedor Dpto. Amoblado 3d En Avda. Cerro Paranal S. Sur!,$1.200.000,3 dormitorios,2 baños,90 m² útiles,"Av. Cerro Paranal, Antofagasta, Coviefi, Antofagasta",antofagasta
Departamento En Arriendo De 2 Dorm. En Antofagasta,$700.000,2 dormitorios,2 baños,50 m² útiles,"Departamento En Edificio San Martin, Frente Al AIEP, Centro De La Ciudad, Centro De Antofagasta, Antofagasta",antofagasta
Arriendo Departamento 3 Dormitorios 1 Baño 1 Estacionamiento,$550.000,3 dormitorios,1 baño,58 m² útiles,"Oficina Lastenia, Antofagasta, La Chimba, Antofagasta",antofagasta
Departamento En Arriendo De 2 Dorm. En Antofagasta,$750.000,2 dormitorios,2 baños,70 m² útiles,"Edificio Travesía De La Playa, Costado Del Hotel Geotel, Jardines Del Sur, Jardines Del Sur, Antofagasta",antofagasta
Arriendo Amoblado Dpto De 3d 2b- Sector Parque Brasil- Costa,$900.000,3 dormitorios,2 baños,76 m² útiles,"Manuel Verbal 1632, Antofagasta, Chile, Parque Brasil, Antofagasta",antofagasta
"Espectacular Dpto., Full Amoblado Parque Ingles.",$650.000,1 dormitorio,1 baño,40 m² útiles,"C. Salar Grande 121, Antofagasta, Playa Blanca, Antofagasta",antofagasta
Departamento Amoblado En Arriendo De 2 Dorm. En Antofagasta,$1.100.000,2 dormitorios,2 baños,75 m² útiles,"Edificio Bahamas - Cerro Paranal A Pasos Del Colegio Chañares, Antofagasta",antofagasta
Puerto Nuevo Antofagasta Dpto. 1 Dormitorio,"UF16,90",1 dormitorio,1 baño,44 m² útiles,"Av. Balmaceda 2455, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
"Av. Argentina, Cercano Supermercado, Sector Sur.",$680.000,3 dormitorios,2 baños,95 m² útiles,"Avenida Argentina 2100 - 2400, Antofagasta, Chile, Coviefi, Antofagasta",antofagasta
Departamento En Arriendo En Antofagasta,$780.000,2 dormitorios,2 baños,70 m² útiles,"Departamento Edificio Capricornio, Parque Brasil, Antofagasta",antofagasta
Departamento En Arriendo En Antofagasta,$700.000,3 dormitorios,2 baños,76 m² útiles,"Amoblado Las Lozas, Parque Juan Lopez, Parque Juan López, Antofagasta",antofagasta
Departamento En Arriendo En Antofagasta,$790.000,3 dormitorios,2 baños,88 m² útiles,"Edificio Martinica, A Pasos De La Costanera Y Nuevo Mall Parque Angamos, Antofagasta",antofagasta
Arriendo  Sector Centro -dpto 1 D.1 B.1 E- Puerto Nuevo,$700.000,1 dormitorio,1 baño,35 m² útiles,"Av. Balmaceda 2415, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
"Arriendo Depto E. Perez Zujovic, Ed Galileo, Antofagasta",$650.000,3 dormitorios,2 baños,80 m² totales,"Avenida Edmundo Perez Zujovic, Hospital Regional, Antofagasta",antofagasta
Arriendo Cómodo Depto 2d/2b/estac/bod Excelente Ubicación,$615.000,2 dormitorios,2 baños,63 m² útiles,"Oviedo Cavada  4455, Playa Paraíso, Antofagasta",antofagasta
Se Arrienda Departamento Amoblado En Av Argentina,$950.000,2 dormitorios,2 baños,75 m² útiles,"Av. Argentina 1200 - 1500, Antofagasta, Parque Brasil, Antofagasta",antofagasta
Acogedor Dpto. Amoblado 3d En Avda. Cerro Paranal S. Sur!,$1.200.000,3 dormitorios,2 baños,90 m² útiles,Antofagasta,antofagasta
Departamento En Arriendo De 2 Dorm. En Antofagasta,$900.000,2 dormitorios,2 baños,80 m² útiles,"Edificio Triología Sur, Sector Llacolen, Antofagasta",antofagasta
¡tu Próximo Hogar Te Espera En La Mejor Zona De La Ciudad!,$585.000,2 dormitorios,1 baño,43 m² útiles,"Tr.ª De Los Vientos 02951, Antofagasta, Jardines Del Sur, Antofagasta",antofagasta
Arriendo Departamento Para Empresas En Av Cerro Paranal,$1.500.000,3 dormitorios,2 baños,76 m² útiles,"Av. Cerro Paranal 270, Antofagasta, Coviefi, Antofagasta",antofagasta
Departamento 2d-2b Amoblado Hermoso En Edificio Puerto Nuevo,UF33,2 dormitorios,2 baños,67 m² útiles,"Av. Balmaceda 2455, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
"Arriendo Departamento Uribe, Edificio Icono, Antofagasta",$500.000,1 dormitorio,1 baño,40 m² totales,"Uribe, Centro De Antofagasta, Antofagasta",antofagasta
Acogedor Depto. Amoblado 3d En Torres Costa Laguna,$1.200.000,3 dormitorios,2 baños,90 m² útiles,"Gladys Marín, Antofagasta, Costa Laguna, Antofagasta",antofagasta
Departamento En Arriendo De 2 Dorm. En Antofagasta,$750.000,2 dormitorios,2 baños,70 m² útiles,"Edificio Ancora, Cascadas Del Sur, A Pasos Del Jumbo Y Colegio Chañares, Coviefi, Antofagasta",antofagasta
"Arriendo Departamento 2 Dormitorios, 2 Baños,sector Coviefi",$760.000,2 dormitorios,2 baños,55 m² útiles,"Antilhue 1675, Antofagasta, Coviefi, Antofagasta",antofagasta
Departamento En Arriendo De 1 Dorm. En Antofagasta,$460.000,1 dormitorio,1 baño,40 m² totales,"Oficina Lastenia, La Chimba, Antofagasta",antofagasta
Hermoso Depto. Exclusiva Vista Al Mar En Valle Del Mar,$850.000,2 dormitorios,2 baños,85 m² útiles,"Valle Del Mar, Jardines Del Sur, Antofagasta",antofagasta
Departamento En Arriendo De 3 Dorm. En Antofagasta,$1.180.000,3 dormitorios,2 baños,90 m² útiles,"Departamento Edificio Travesía De La Playa, Jardines Del Sur, Jardines Del Sur, Antofagasta",antofagasta
Departamento En Arriendo En Antofagasta,$690.000,1 dormitorio,1 baño,45 m² útiles,"Departamento Edificio Icono, Full Amoblado, Centro De Antofagasta, Antofagasta",antofagasta
Departamento Amoblado Y Completamente Equipado.,$1.250.000,4 dormitorios,2 baños,145 m² útiles,"Av. Jaime Guzmán Errázuriz, Antofagasta, Antofagasta",antofagasta
Departamento En Arriendo De 1 Dorm. En Antofagasta,$720.000,1 dormitorio,1 baño,36 m² útiles,"Departamento Amoblado,Edificio Rimini, Frente Al Colegio Chañares, Coviefi, Antofagasta",antofagasta
Departamento Estudio Semi Amoblado Antofagasta Puerto Nuevo,"UF14,85",1 dormitorio,1 baño,30 m² útiles,"Av. Balmaceda 2455, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
Excelente Departamento Arriendo Sector Centro Vista Al Mar,$650.000,2 dormitorios,2 baños,85 m² útiles,"Av. Séptimo De Línea 3480, Antofagasta, Playa Paraíso, Antofagasta",antofagasta
Departamento Semi Amoblado Cerro Paranal,$1.200.000,2 dormitorios,2 baños,80 m² útiles,"Av. Cerro Paranal 375, Antofagasta, Coviefi, Antofagasta",antofagasta
"Bello Depto Sur, Arriendo Frente Paseo Del Mar Antofagasta",$580.000,1 dormitorio,1 baño,40 m² útiles,"Av. Jaime Guzmán Errázuriz, Antofagasta, Antofagasta",antofagasta
Departamento Sector Sur Cero Paranal 3 Dor.,$950.000,3 dormitorios,2 baños,94 m² útiles,"Av. Cerro Paranal 300 - 600, Antofagasta, Coviefi, Antofagasta",antofagasta
Dueño Arrienda Hermoso Depto Vista Al Mar Costa Laguna 2d 2b,$760.000,2 dormitorios,2 baños,53 m² útiles,"Gladys Marín 625, Antofagasta, Chile, Costa Laguna, Antofagasta",antofagasta
Excelente Departamento Arriendo Avenida Brasil Antofagasta,$630.000,1 dormitorio,1 baño,50 m² útiles,"Av. Gral. Bernardo O'Higgins 1215, Antofagasta, Parque Brasil, Antofagasta",antofagasta
Departamento Amoblado Sector Norte 2 Dor.,$560.000,2 dormitorios,1 baño,49 m² útiles,"Pirita 10200 - 10500, Antofagasta, Parque Juan López, Antofagasta",antofagasta
Hermoso Iluminado Y Cómodo Dpto Frente A  Playa Llacolen .,$960.000,2 dormitorios,2 baños,75 m² útiles,"Av Jaime Guzmán Errazuriz  04300, Jardines Del Sur, Antofagasta",antofagasta
Departamento Sector Parque Brasil 2 Dor.,$900.000,2 dormitorios,2 baños,66 m² útiles,"Salvador Reyes 940, Antofagasta, Parque Brasil, Antofagasta",antofagasta
Departamento 2 Dormitorio Centrico,$750.000,2 dormitorios,2 baños,50 m² útiles,"Teniente Manuel Orella 643, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
Departamento Amoblado Ideal Ejecutivo Rimini,$770.000,1 dormitorio,1 baño,35 m² útiles,"Av. Cerro Paranal 380, Antofagasta, Coviefi, Antofagasta",antofagasta
Departamento En Arriendo De 1 Dorm. En Antofagasta,$700.000,1 dormitorio,1 baño,65 m² útiles,"Parque Croata, Playa Blanca, Antofagasta",antofagasta
Se Arrienda Apartamento Amoblado En Edificio Balmaceda,$750.000,1 dormitorio,1 baño,45 m² útiles,"Av. Balmaceda 2455, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
Hermoso Departamento Un Dormitorio Amoblado,$680.000,1 dormitorio,1 baño,35 m² útiles,"Oficina Pedro De Valdivia 196, Antofagasta, Parque Juan López, Antofagasta",antofagasta
Departamento Mariposa Sin Muebles Excelente Ubicación,$730.000,2 dormitorios,2 baños,60 m² útiles,"Av. Argentina 1665, Antofagasta, Parque Brasil, Antofagasta",antofagasta
Departamento Sector Sur 3 Dor.,$550.000,3 dormitorios,1 baño,49 m² útiles,"C. Llullaillaco 02451, Antofagasta, Jardines Del Sur, Antofagasta",antofagasta
Departamento A Estrenar Sector Centro,$390.000,1 dormitorio,1 baño,22 m² útiles,"C. Caracoles 3300 - 3600, Antofagasta, Playa Paraíso, Antofagasta",antofagasta
"Amplio Y Cómodo Departamento, Con Vista Al Mar.",$800.000,3 dormitorios,2 baños,80 m² útiles,"Av. Cardenal Carlos Oviedo Cavada 4455, Antofagasta, Playa Paraíso, Antofagasta",antofagasta
Departamento Tipo Estudio Excelente Ubicación,$450.000,1 dormitorio,1 baño,30 m² útiles,"Av. Argentina 1665, Antofagasta, Parque Brasil, Antofagasta",antofagasta
Departamento Ideal Para Ejecutivo - Amoblado,$750.000,1 dormitorio,1 baño,30 m² útiles,"Salvador Reyes 940, Antofagasta, Parque Brasil, Antofagasta",antofagasta
Se Arrienda Amplio Departamento Centrico,$570.000,3 dormitorios,1 baño,70 m² útiles,"Buenos Aires, Antofagasta, Playa Paraíso, Antofagasta",antofagasta
Se Arrienda Departamento Amoblado,$560.000,2 dormitorios,1 baño,48 m² útiles,"Ascotan Norte  131, La Chimba, Antofagasta",antofagasta
Departamento En Arriendo En Antofagasta,$500.000,1 dormitorio,1 baño,27 m² útiles,"Departamento Edificio Plaza Tokio, A Pasos Del Balneario, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta
"Se Arrienda Departamento En Barrio Universitario, Sector Sur",$565.000,3 dormitorios,1 baño,60 m² útiles,"Antofagasta, Jardines Del Sur",antofagasta
Departamento Estudio Semi Amoblado Antofagasta Puerto Nuevo,"UF11,49",1 dormitorio,1 baño,23 m² útiles,"Av. Balmaceda 2455, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
Departamento Para Ejecutivo O Pareja Sin Hijos,$550.000,1 dormitorio,1 baño,30 m² útiles,"Salvador Reyes 940, Antofagasta, Parque Brasil, Antofagasta",antofagasta
Arrienda Dpto. Central 2 Dorm 1 Baño Semi Amoblado,$700.000,2 dormitorios,1 baño,45 m² útiles,"Uribe  305, Centro De Antofagasta, Antofagasta",antofagasta
Excelente Departamento Central,$390.000,1 dormitorio,1 baño,55 m² útiles,"Av. Argentina 351, Antofagasta, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta
Departamento En Arriendo En Antofagasta,$680.000,2 dormitorios,2 baños,65 m² útiles,"Departamento Edificio Club De Yates, Centro De Antofagasta, Antofagasta",antofagasta
"Departamento Nuevo, 3d/1b Sector Jumbo Norte",$790.000,3 dormitorios,1 baño,58 m² útiles,"Calle Nueva 4 419, Antofagasta, Trocadero, Antofagasta",antofagasta
Arriendo - Cerro Paranal,$1.000.000,2 dormitorios,2 baños,400 m² útiles,"Av. Cerro Paranal, Antofagasta, Coviefi, Antofagasta",antofagasta
Edificio Aires - Arriendo,$1.100.000,3 dormitorios,2 baños,400 m² útiles,"Av. Jaime Guzmán Errázuriz, Antofagasta, Antofagasta",antofagasta
Amplio Departamento Parque Ingles 3d/2b,$1.100.000,3 dormitorios,2 baños,95 m² útiles,"Leonardo Guzmán, Antofagasta, Playa Blanca, Antofagasta",antofagasta
Departamento Amoblado 1d/1b Sector Costanera Sur,$650.000,1 dormitorio,1 baño,45 m² útiles,"Manuel Verbal 1258, Antofagasta, Parque Brasil, Antofagasta",antofagasta
"Departamento 2d/2b Cerro Paranal, Ed. Puyehue",$830.000,2 dormitorios,2 baños,75 m² útiles,"Av. Cerro Paranal 270, Antofagasta, Coviefi, Antofagasta",antofagasta
Estupendo Y Acogedor Departamento Amoblado Avda. Brasil,UF19,1 dormitorio,1 baño,40 m² útiles,"Salvador Reyes 940, Antofagasta, Parque Brasil, Antofagasta",antofagasta
"Arriendo Departamento Estilo Mariposa, En Faro Norte.",$700.000,2 dormitorios,2 baños,60 m² útiles,"Ascotán Nte. 151, Antofagasta, La Chimba, Antofagasta",antofagasta
"Arriendo Departamento, En Edificio Faro Norte",$700.000,2 dormitorios,2 baños,60 m² útiles,"Ascotán Nte. 151, Antofagasta, La Chimba, Antofagasta",antofagasta
Arriendo Departamento Amoblado Edificio Futuro,$1.200.000,3 dormitorios,3 baños,120 m² útiles,"Centro De Antofagasta, Antofagasta",antofagasta
Hermoso Departamento 4dorm + 3baños Llacolen Vista Al Mar,$1.000.000,4 dormitorios,3 baños,120 m² útiles,"Av. Jaime Guzmán Errázuriz 4794, Antofagasta, Antofagasta",antofagasta
Depto Amoblado Coviefi 2d2b,$750.000,2 dormitorios,2 baños,60 m² útiles,"Antilhue  1675, Coviefi, Antofagasta",antofagasta
Depto 2d 2d 1es Sector Norte Calle El Azufre,$600.000,2 dormitorios,2 baños,70 m² útiles,"El Azufre  23, Nicolás Tirado, Antofagasta",antofagasta
Depto Full Equipado Centro Antofagasta 2d 2b 1e,$800.000,2 dormitorios,2 baños,65 m² útiles,"Cap. Carlos Condell 3177, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
Id 45369 Av. Argentina #2272,$1.050.000,3 dormitorios,3 baños,140 m² útiles,"Av. Argentina 2272, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
"Id 44348 Radoslav Razmilic #1385, Edificio Lapislázuli",$1.500.000,4 dormitorios,2 baños,140 m² útiles,"Radoslav Razmilic 1385, Antofagasta, Playa Blanca, Antofagasta",antofagasta
Id 44438 Sierra Nevada #10464,$680.000,3 dormitorios,2 baños,91 m² útiles,"Sierra Nevada 10464, Antofagasta, Parque Juan López, Antofagasta",antofagasta
"Departamento Nuevo 2 Hab, 2 Baños Con Est. Y Bodega",$800.000,2 dormitorios,2 baños,59 m² útiles,"Avenida Rica Aventura 10701, Parque Juan López, Antofagasta",antofagasta
Arriendo Departamento Sur Antofagasta (trato Directo),$990.000,3 dormitorios,2 baños,104 m² útiles,"Jaime Guzman Errazuriz - Av. Jaime Guzmán Errázuriz 4100, Antofagasta, Jardines Del Sur, Antofagasta",antofagasta
Departamento Cerca Del Centro Buena Vista,$800.000,3 dormitorios,2 baños,75 m² útiles,"Av. Argentina 1340, Antofagasta, Parque Brasil, Antofagasta",antofagasta
Dueño Arrienda Departamento Almagro 01 Dormitorio S/amoblar,$620.000,1 dormitorio,1 baño,34 m² útiles,"Av. Argentina 1665, Antofagasta, Parque Brasil, Antofagasta",antofagasta
"Depto Frente Al Mar, Condominio Las Antillas",$1.100.000,3 dormitorios,2 baños,130 m² útiles,"Alcalde German Miric Vega 216, Antofagasta, Coviefi, Antofagasta",antofagasta
Se Arrienda Depto 1d/1b En Edificio Don Salvador,$680.000,1 dormitorio,1 baño,40 m² útiles,"Salvador Reyes 1230, Parque Brasil, Antofagasta",antofagasta
"Departamento Remodelado, Amplio Y Tranquilo.",$650.000,3 dormitorios,2 baños,78 m² útiles,"Hermógenes Alfaro 1360, 1270152 Antofagasta, Chile, Parque Brasil, Antofagasta",antofagasta
Oportunidad! Depto Parque Brasil 3d/3b Edificio Inmigrantes,$1.000.000,3 dormitorios,3 baños,92 m² útiles,"José Miguel Carrera 1663, Antofagasta, Chile, Parque Brasil, Antofagasta",antofagasta
Departamento En Arriendo Condominio Jardin Del Pacifico,$1.100.000,3 dormitorios,2 baños,100 m² útiles,"Av. Angamos 1100, Antofagasta, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta
Departamento 3d 2b Condominio Costa Laguna,$650.000,3 dormitorios,2 baños,100 m² útiles,"Gladys Marín 625, Antofagasta, Costa Laguna, Antofagasta",antofagasta
Departamento 3 Habitaciones Bodega Estacionamiento,$900.000,3 dormitorios,2 baños,90 m² útiles,"Nicolás Tirado  90, Nicolás Tirado, Antofagasta",antofagasta
Arriendo Departamento 2d/2b/1bod/1e Centro Antofagasta,$680.000,2 dormitorios,2 baños,58 m² útiles,"Maipu 936, Centro De Antofagasta, Antofagasta",antofagasta
Arriendo Departamento En Condominio Leonora Latorre.,$520.000,2 dormitorios,1 baño,40 m² útiles,"Nicolás Tirado 1 - 300, Antofagasta, Nicolás Tirado, Antofagasta",antofagasta
Arriendo Hermoso Departamento Avda Brasil Antofagasta,$1.000.000,3 dormitorios,3 baños,100 m² útiles,"Avenida Libertador B. O'Higgins 1244, Parque Brasil, Antofagasta",antofagasta
Arriendo Hermoso Departamento 3d3b Antofagasta,$1.050.000,3 dormitorios,3 baños,145 m² útiles,"Av. Argentina, Antofagasta, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta
Departamento 2d Y 2b Calama,$780.000,2 dormitorios,2 baños,62 m² útiles,"Circunvalación  SN, Hospital Regional, Antofagasta",antofagasta
Arriendo Departamento Sector Norte,$600.000,2 dormitorios,1 baño,43 m² útiles,"Ascotán Nte. 1 - 300, Antofagasta, La Chimba, Antofagasta",antofagasta
Departamento Nuevo,$590.000,2 dormitorios,2 baños,49 m² útiles,"Ascotán Nte., Antofagasta, La Chimba, Antofagasta",antofagasta
Departamento En Arriendo,$900.000,3 dormitorios,2 baños,67 m² útiles,"Antilhue 0830, Coviefi, Antofagasta",antofagasta
Hermoso Departamento 1d1b Gastos Comunes Incluidos,$500.000,1 dormitorio,1 baño,37 m² útiles,"El Oro 8100 - 8400, Antofagasta, Nicolás Tirado, Antofagasta",antofagasta
Departamento 1 D1b Sector Sur Mall Angamos Antofagasta,$630.000,1 dormitorio,1 baño,40 m² útiles,"Avenida Cerro Paranal 515, Coviefi, Antofagasta",antofagasta
"Departamento Amoblado, Edificio Icono.",$750.000,2 dormitorios,1 baño,48 m² útiles,"Uribe 305, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
"Hermoso,cómodo, Funcional Pequeño Loft.amoblado En Avenida A",$500.000,1 dormitorio,1 baño,20 m² útiles,"Avenida Antonio Rendic  5625, Hospital Regional, Antofagasta",antofagasta
Hermoso Depto. Amoblado Costa Laguna,$980.000,3 dormitorios,2 baños,98 m² útiles,"Avenida Gladys Marin 0625, Costa Laguna, Antofagasta",antofagasta
"Dpto. 403 Ed. Punta De Rieles, Condominio Parque Juan López",$580.000,2 dormitorios,1 baño,50 m² útiles,"Lidia Moreno 265, Antofagasta, Parque Juan López, Antofagasta",antofagasta
Arriendo Dpto Frente Al Mar,$550.000,2 dormitorios,1 baño,7 m² útiles,"Av. Edmundo Pérez Zujovic 5134, Antofagasta, Hospital Regional, Antofagasta",antofagasta
Arriendo Excelente Dpto Av Brasil 1h1b Con Terraza,$620.000,1 dormitorio,1 baño,54 m² útiles,"Aconcagua 923, Antofagasta, Parque Brasil, Antofagasta",antofagasta
Se Vende Departamento Amoblado En Antofagasta (costa Laguna),UF5.200,3 dormitorios,2 baños,,"Gladys Marín 625, Antofagasta, Chile, Costa Laguna, Antofagasta",antofagasta
Se Arrienda Acogedor Departamento Céntrico,$630.000,2 dormitorios,1 baño,52 m² útiles,"Sur De Calama, Calama, Antofagasta",calama
"Departamento Tipo Mariposa, Amoblado.",$935.000,2 dormitorios,2 baños,54 m² útiles,"Centro De Calama, Calama, Antofagasta",calama
Arriendo Depto. Estilo Mariposa / Empresas,$1.300.000,2 dormitorios,2 baños,60 m² útiles,"Estadio Zorros Del Desierto, Calama, Antofagasta",calama
"Departamento Tipo Mariposa, Amoblado Para Empresa.",$1.300.000,2 dormitorios,2 baños,60 m² útiles,"Centro De Calama, Calama, Antofagasta",calama
Departamento Centrico,$700.000,2 dormitorios,1 baño,50 m² útiles,"Centro De Calama, Calama, Antofagasta",calama
"Departamento Tipo Mariposa, Amoblado, Para Empresa.",$1.300.000,2 dormitorios,2 baños,54 m² útiles,"Centro De Calama, Calama, Antofagasta",calama
Arriendo Dpto. Estilo Mariposa - Empresa,$1.300.000,2 dormitorios,2 baños,60 m² útiles,"Estadio Zorros Del Desierto, Calama, Antofagasta",calama
Arriendo 987005522,$930.000,2 dormitorios,2 baños,5.322 m² útiles,"Balmaceda  1414, Antofagasta, Calama 987005522, Estadio Zorros Del Desierto, Calama, Antofagasta",calama
Departamento Amoblado Cond. Oasis Del Loa 3d/2b/1e,$820.000,3 dormitorios,2 baños,72 m² útiles,"Condominio Oasis Del Loa, Sur De Calama, Calama, Antofagasta",calama
